matrix size,elapsed time harness, elapsed time function, start harness, start function, end harness, end function
5,0.260653257369995,6.53266906738281E-05,1585624711.77723,1585624712.03282,1585624712.03789,1585624712.03289
5,0.159299373626709,6.43730163574219E-05,1585624712.07873,1585624712.2342,1585624712.23803,1585624712.23426
5,0.181702136993408,6.41345977783203E-05,1585624712.27926,1585624712.45693,1585624712.46096,1585624712.45699
5,0.15907621383667,6.36577606201172E-05,1585624712.49792,1585624712.65298,1585624712.657,1585624712.65304
5,0.158961772918701,6.46114349365234E-05,1585624712.69814,1585624712.85271,1585624712.8571,1585624712.85278
10,0.181329488754272,0.000696182250977,1585624712.91868,1585624713.09428,1585624713.1,1585624713.09497
10,0.139861583709717,0.000709772109985,1585624713.15705,1585624713.2913,1585624713.29692,1585624713.29201
10,0.162070274353027,0.000695705413818,1585624713.33806,1585624713.49445,1585624713.50013,1585624713.49514
10,0.144409894943237,0.000710964202881,1585624713.55743,1585624713.69632,1585624713.70184,1585624713.69703
10,0.180065393447876,0.000773906707764,1585624713.73907,1585624713.91394,1585624713.91914,1585624713.91471
50,0.584017753601074,0.384581089019775,1585624714.03799,1585624714.22804,1585624714.62201,1585624714.61262
50,0.598410367965698,0.37820029258728,1585624714.7189,1585624714.93047,1585624715.31731,1585624715.30867
50,0.61164927482605,0.385391473770142,1585624715.43795,1585624715.65438,1585624716.0496,1585624716.03978
50,0.591447830200195,0.390086650848389,1585624716.1579,1585624716.34959,1585624716.74935,1585624716.73968
50,0.576485872268677,0.379855394363403,1585624716.85833,1585624717.04593,1585624717.43482,1585624717.42579
100,6.43634557723999,6.1226544380188,1585624717.75835,1585624718.04816,1585624724.19469,1585624724.17082
100,6.37038636207581,6.08651781082153,1585624724.55824,1585624724.82097,1585624730.92863,1585624730.90749
100,6.32852268218994,6.0447781085968,1585624731.31783,1585624731.58098,1585624737.64635,1585624737.62576
100,6.35310554504395,6.09290862083435,1585624738.03625,1585624738.27587,1585624744.38935,1585624744.36878
100,6.53512144088745,6.23499631881714,1585624744.73994,1585624745.01868,1585624751.27506,1585624751.25367
